model_key,layer,head,k,iou_score,program_idxs_used
llama3b,1,22,4,0.700866,68|55|23|27
llama3b,1,22,5,0.700866,68|55|23|27|30
llama3b,1,22,6,0.700866,68|55|23|27|30|64
llama3b,1,22,7,0.700866,68|55|23|27|30|64|28
llama3b,1,22,8,0.700866,68|55|23|27|30|64|28|36
llama3b,1,22,9,0.700866,68|55|23|27|30|64|28|36|32
llama3b,1,22,10,0.700866,68|55|23|27|30|64|28|36|32|24
llama3b,1,23,1,0.809184,68
llama3b,1,23,2,0.810134,68|33
llama3b,1,23,3,0.815008,68|33|55
llama3b,1,23,4,0.816554,68|33|55|23
llama3b,1,23,5,0.821078,68|33|55|23|64
llama3b,1,23,6,0.821078,68|33|55|23|64|27
llama3b,1,23,7,0.821078,68|33|55|23|64|27|30
llama3b,1,23,8,0.821078,68|33|55|23|64|27|30|36
llama3b,1,23,9,0.821078,68|33|55|23|64|27|30|36|28
llama3b,1,23,10,0.821078,68|33|55|23|64|27|30|36|28|24
llama3b,2,0,1,0.775993,55
llama3b,2,0,2,0.777075,55|23
llama3b,2,0,3,0.782577,55|23|30
llama3b,2,0,4,0.782577,55|23|30|27
llama3b,2,0,5,0.782577,55|23|30|27|64
llama3b,2,0,6,0.782577,55|23|30|27|64|24
llama3b,2,0,7,0.782577,55|23|30|27|64|24|28
llama3b,2,0,8,0.782577,55|23|30|27|64|24|28|58
llama3b,2,0,9,0.782577,55|23|30|27|64|24|28|58|32
llama3b,2,0,10,0.782577,55|23|30|27|64|24|28|58|32|36
llama3b,2,1,1,0.874841,55
llama3b,2,1,2,0.875297,55|23
llama3b,2,1,3,0.877455,55|23|30
llama3b,2,1,4,0.877455,55|23|30|27
llama3b,2,1,5,0.877455,55|23|30|27|64
llama3b,2,1,6,0.877455,55|23|30|27|64|24
llama3b,2,1,7,0.877455,55|23|30|27|64|24|28
llama3b,2,1,8,0.877455,55|23|30|27|64|24|28|58
llama3b,2,1,9,0.877455,55|23|30|27|64|24|28|58|32
llama3b,2,1,10,0.877455,55|23|30|27|64|24|28|58|32|36
llama3b,2,2,1,0.798334,55
llama3b,2,2,2,0.811953,55|23
llama3b,2,2,3,0.815114,55|23|30
llama3b,2,2,4,0.815114,55|23|30|27
llama3b,2,2,5,0.815114,55|23|30|27|64
llama3b,2,2,6,0.815114,55|23|30|27|64|24
llama3b,2,2,7,0.815114,55|23|30|27|64|24|28
llama3b,2,2,8,0.815114,55|23|30|27|64|24|28|58
llama3b,2,2,9,0.815114,55|23|30|27|64|24|28|58|32
llama3b,2,2,10,0.815114,55|23|30|27|64|24|28|58|32|36
llama3b,2,3,1,0.745185,55
llama3b,2,3,2,0.744895,55|68
llama3b,2,3,3,0.756294,55|68|23
llama3b,2,3,4,0.763576,55|68|23|27
llama3b,2,3,5,0.763576,55|68|23|27|30
llama3b,2,3,6,0.763576,55|68|23|27|30|64
llama3b,2,3,7,0.763576,55|68|23|27|30|64|28
llama3b,2,3,8,0.763576,55|68|23|27|30|64|28|36
llama3b,2,3,9,0.763576,55|68|23|27|30|64|28|36|32
llama3b,2,3,10,0.763576,55|68|23|27|30|64|28|36|32|24
llama3b,2,4,1,0.927533,55
llama3b,2,4,2,0.930911,55|23
llama3b,2,4,3,0.93376,55|23|30
